"","p_d_node","p_state","d_state","change","p_pp","d_pp","dpp>ppp"
"379","1289_184",1,1,0,1,1,0
"380","1289_185",1,1,0,1,1,0
"381","1288_186",1,1,0,1,1,0
"382","1284_187",1,1,0,1,1,0
"383","1282_1290",1,1,0,1,1,0
"384","1290_188",1,1,0,1,1,0
"385","1290_189",1,1,0,1,1,0
"386","1247_190",1,1,0,1,1,0
"387","1181_1291",1,1,0,1,1,0
"388","1291_191",1,1,0,1,1,0
"389","1291_1292",1,1,0,1,1,0
"390","1292_192",1,1,0,1,1,0
"391","1292_1293",1,1,0,1,1,0
"392","1293_193",1,1,0,1,1,0
"393","1293_1294",1,1,0,1,1,0
"394","1294_194",1,1,0,1,1,0
"395","1294_1295",1,1,0,1,1,0
"396","1295_1296",1,1,0,1,1,0
"397","1296_1297",1,1,0,1,1,0
"398","1297_195",1,1,0,1,1,0
"399","1297_196",1,1,0,1,1,0
"400","1296_197",1,1,0,1,1,0
"401","1295_1298",1,1,0,1,1,0
"402","1298_198",1,1,0,1,1,0
"403","1298_199",1,1,0,1,1,0
"404","1180_1299",1,1,0,1,0.99,0
"405","1299_200",1,1,0,0.99,1,1
"406","1299_1300",1,1,0,0.99,0.778,0
"407","1300_1301",1,1,0,0.778,0.762,0
"408","1301_201",1,1,0,0.762,1,1
"409","1301_1302",1,0,1,0.762,0.978,1
"410","1302_202",0,0,0,0.978,1,1
"411","1302_1303",0,0,0,0.978,1,1
"412","1303_203",0,0,0,1,1,0
"413","1303_1304",0,0,0,1,1,0
"414","1304_204",0,0,0,1,1,0
"415","1304_205",0,0,0,1,1,0
"416","1300_1305",1,0,1,0.778,0.984,1
"417","1305_1306",0,0,0,0.984,1,1
"418","1306_206",0,0,0,1,1,0
"419","1306_1307",0,0,0,1,1,0
"420","1307_1308",0,0,0,1,1,0
"421","1308_207",0,0,0,1,1,0
"422","1308_208",0,0,0,1,1,0
"423","1307_209",0,0,0,1,1,0
"424","1305_1309",0,0,0,0.984,1,1
"425","1309_1310",0,0,0,1,1,0
"426","1310_1311",0,0,0,1,1,0
"427","1311_1312",0,0,0,1,1,0
"428","1312_210",0,0,0,1,1,0
"429","1312_211",0,0,0,1,1,0
"430","1311_1313",0,0,0,1,1,0
"431","1313_212",0,0,0,1,1,0
"432","1313_213",0,0,0,1,1,0
"433","1310_1314",0,0,0,1,1,0
"434","1314_1315",0,0,0,1,1,0
"435","1315_214",0,0,0,1,1,0
"436","1315_1316",0,0,0,1,1,0
"437","1316_1317",0,0,0,1,1,0
"438","1317_215",0,0,0,1,1,0
"439","1317_216",0,0,0,1,1,0
"440","1316_217",0,0,0,1,1,0
"441","1314_1318",0,0,0,1,1,0
"442","1318_1319",0,0,0,1,1,0
"443","1319_218",0,0,0,1,1,0
"444","1319_219",0,0,0,1,1,0
"445","1318_220",0,0,0,1,1,0
"446","1309_1320",0,0,0,1,1,0
"447","1320_1321",0,0,0,1,1,0
"448","1321_221",0,0,0,1,1,0
"449","1321_222",0,0,0,1,1,0
"450","1320_1322",0,0,0,1,1,0
"451","1322_223",0,0,0,1,1,0
"452","1322_1323",0,0,0,1,1,0
"453","1323_1324",0,0,0,1,1,0
"454","1324_1325",0,0,0,1,1,0
"455","1325_224",0,0,0,1,1,0
"456","1325_1326",0,0,0,1,1,0
"457","1326_225",0,0,0,1,1,0
"458","1326_226",0,0,0,1,1,0
"459","1324_1327",0,0,0,1,1,0
"460","1327_227",0,0,0,1,1,0
"461","1327_228",0,0,0,1,1,0
"462","1323_1328",0,0,0,1,1,0
"463","1328_1329",0,0,0,1,1,0
"464","1329_229",0,0,0,1,1,0
"465","1329_230",0,0,0,1,1,0
"466","1328_231",0,0,0,1,1,0
"467","1173_1330",1,1,0,1,1,0
"468","1330_1331",1,1,0,1,1,0
"469","1331_1332",1,1,0,1,1,0
"470","1332_232",1,1,0,1,1,0
"471","1332_233",1,1,0,1,1,0
"472","1331_1333",1,1,0,1,1,0
"473","1333_234",1,1,0,1,1,0
"474","1333_1334",1,1,0,1,1,0
"475","1334_1335",1,1,0,1,1,0
"476","1335_235",1,1,0,1,1,0
"477","1335_1336",1,1,0,1,1,0
"478","1336_1337",1,1,0,1,1,0
"479","1337_236",1,1,0,1,1,0
"480","1337_1338",1,1,0,1,1,0
"481","1338_237",1,1,0,1,1,0
"482","1338_1339",1,1,0,1,1,0
"483","1339_238",1,1,0,1,1,0
"484","1339_239",1,1,0,1,1,0
"485","1336_240",1,1,0,1,1,0
"486","1334_241",1,1,0,1,1,0
"487","1330_1340",1,1,0,1,1,0
"488","1340_242",1,1,0,1,1,0
"489","1340_243",1,1,0,1,1,0
"490","1151_1341",1,1,0,1,1,0
"491","1341_1342",1,1,0,1,1,0
"492","1342_244",1,1,0,1,1,0
"493","1342_1343",1,1,0,1,1,0
"494","1343_1344",1,1,0,1,1,0
"495","1344_245",1,1,0,1,1,0
"496","1344_246",1,1,0,1,1,0
"497","1343_1345",1,1,0,1,1,0
"498","1345_247",1,1,0,1,1,0
"499","1345_248",1,1,0,1,1,0
"500","1341_1346",1,1,0,1,1,0
"501","1346_249",1,1,0,1,1,0
"502","1346_1347",1,1,0,1,1,0
"503","1347_250",1,1,0,1,1,0
"504","1347_1348",1,1,0,1,1,0
"505","1348_251",1,1,0,1,1,0
"506","1348_1349",1,1,0,1,1,0
"507","1349_252",1,1,0,1,1,0
"508","1349_1350",1,1,0,1,1,0
"509","1350_253",1,1,0,1,1,0
"510","1350_254",1,1,0,1,1,0
"511","1142_1351",1,1,0,1,1,0
"512","1351_255",1,1,0,1,1,0
"513","1351_256",1,1,0,1,1,0
"514","1141_1352",1,1,0,1,1,0
"515","1352_1353",1,1,0,1,1,0
"516","1353_1354",1,1,0,1,1,0
"517","1354_1355",1,1,0,1,1,0
"518","1355_257",1,1,0,1,1,0
"519","1355_258",1,1,0,1,1,0
"520","1354_259",1,1,0,1,1,0
"521","1353_260",1,1,0,1,1,0
"522","1352_261",1,1,0,1,1,0
"523","1115_1356",1,1,0,1,1,0
"524","1356_262",1,1,0,1,1,0
"525","1356_1357",1,1,0,1,1,0
"526","1357_263",1,1,0,1,1,0
"527","1357_264",1,1,0,1,1,0
"528","1110_1358",1,1,0,1,1,0
"529","1358_1359",1,1,0,1,1,0
"530","1359_1360",1,1,0,1,1,0
"531","1360_1361",1,1,0,1,1,0
"532","1361_1362",1,1,0,1,1,0
"533","1362_1363",1,1,0,1,0.996,0
"534","1363_265",1,1,0,0.996,1,1
"535","1363_266",1,0,1,0.996,1,1
"536","1362_1364",1,1,0,1,1,0
"537","1364_1365",1,1,0,1,1,0
"538","1365_267",1,1,0,1,1,0
"539","1365_268",1,1,0,1,1,0
"540","1364_1366",1,1,0,1,1,0
"541","1366_269",1,1,0,1,1,0
"542","1366_1367",1,1,0,1,1,0
"543","1367_1368",1,1,0,1,1,0
"544","1368_270",1,1,0,1,1,0
"545","1368_1369",1,1,0,1,1,0
"546","1369_271",1,1,0,1,1,0
"547","1369_272",1,1,0,1,1,0
"548","1367_273",1,1,0,1,1,0
"549","1361_1370",1,1,0,1,1,0
"550","1370_1371",1,1,0,1,1,0
"551","1371_274",1,1,0,1,1,0
"552","1371_1372",1,1,0,1,1,0
"553","1372_1373",1,1,0,1,1,0
"554","1373_275",1,1,0,1,1,0
"555","1373_276",1,1,0,1,1,0
"556","1372_1374",1,1,0,1,1,0
"557","1374_1375",1,1,0,1,1,0
"558","1375_277",1,1,0,1,1,0
"559","1375_1376",1,1,0,1,1,0
"560","1376_278",1,1,0,1,1,0
"561","1376_279",1,1,0,1,1,0
"562","1374_280",1,1,0,1,1,0
"563","1370_281",1,1,0,1,1,0
"564","1360_1377",1,1,0,1,1,0
"565","1377_282",1,1,0,1,1,0
"566","1377_1378",1,1,0,1,1,0
"567","1378_1379",1,1,0,1,1,0
"568","1379_283",1,1,0,1,1,0
"569","1379_284",1,1,0,1,1,0
"570","1378_1380",1,1,0,1,1,0
"571","1380_1381",1,1,0,1,1,0
"572","1381_1382",1,0,1,1,0.986,0
"573","1382_285",0,0,0,0.986,1,1
"574","1382_1383",0,0,0,0.986,1,1
"575","1383_1384",0,0,0,1,1,0
"576","1384_1385",0,0,0,1,1,0
"577","1385_286",0,0,0,1,1,0
"578","1385_287",0,0,0,1,1,0
"579","1384_1386",0,0,0,1,1,0
"580","1386_1387",0,0,0,1,1,0
"581","1387_288",0,0,0,1,1,0
"582","1387_289",0,0,0,1,1,0
"583","1386_290",0,0,0,1,1,0
"584","1383_1388",0,0,0,1,1,0
"585","1388_1389",0,0,0,1,1,0
"586","1389_291",0,0,0,1,1,0
"587","1389_1390",0,0,0,1,1,0
"588","1390_1391",0,0,0,1,1,0
"589","1391_1392",0,0,0,1,1,0
"590","1392_292",0,0,0,1,1,0
"591","1392_293",0,0,0,1,1,0
"592","1391_1393",0,0,0,1,1,0
"593","1393_1394",0,0,0,1,1,0
"594","1394_294",0,0,0,1,1,0
"595","1394_1395",0,0,0,1,1,0
"596","1395_295",0,0,0,1,1,0
"597","1395_296",0,0,0,1,1,0
"598","1393_297",0,0,0,1,1,0
"599","1390_298",0,0,0,1,1,0
"600","1388_299",0,0,0,1,1,0
"601","1381_300",1,1,0,1,1,0
"602","1380_1396",1,1,0,1,1,0
"603","1396_1397",1,1,0,1,1,0
"604","1397_1398",1,1,0,1,1,0
"605","1398_301",1,1,0,1,1,0
"606","1398_302",1,1,0,1,1,0
"607","1397_303",1,1,0,1,1,0
"608","1396_1399",1,1,0,1,1,0
"609","1399_1400",1,1,0,1,1,0
"610","1400_304",1,1,0,1,1,0
"611","1400_1401",1,1,0,1,1,0
"612","1401_1402",1,1,0,1,1,0
"613","1402_305",1,1,0,1,1,0
"614","1402_306",1,1,0,1,1,0
"615","1401_307",1,1,0,1,1,0
"616","1399_1403",1,1,0,1,1,0
"617","1403_1404",1,1,0,1,1,0
"618","1404_1405",1,1,0,1,1,0
"619","1405_308",1,1,0,1,1,0
"620","1405_309",1,1,0,1,1,0
"621","1404_1406",1,1,0,1,1,0
"622","1406_310",1,1,0,1,1,0
"623","1406_1407",1,1,0,1,1,0
"624","1407_311",1,1,0,1,1,0
"625","1407_312",1,1,0,1,1,0
"626","1403_1408",1,1,0,1,1,0
"627","1408_313",1,1,0,1,1,0
"628","1408_314",1,1,0,1,1,0
"629","1359_1409",1,1,0,1,0.994,0
"630","1409_1410",1,1,0,0.994,1,1
"631","1410_1411",1,1,0,1,1,0
"632","1411_315",1,1,0,1,1,0
"633","1411_1412",1,1,0,1,1,0
"634","1412_316",1,1,0,1,1,0
"635","1412_1413",1,1,0,1,1,0
"636","1413_317",1,1,0,1,1,0
"637","1413_318",1,1,0,1,1,0
"638","1410_1414",1,1,0,1,1,0
"639","1414_1415",1,1,0,1,1,0
"640","1415_1416",1,1,0,1,1,0
"641","1416_319",1,1,0,1,1,0
"642","1416_320",1,1,0,1,1,0
"643","1415_321",1,1,0,1,1,0
"644","1414_1417",1,1,0,1,1,0
"645","1417_1418",1,1,0,1,1,0
"646","1418_322",1,1,0,1,1,0
"647","1418_1419",1,1,0,1,1,0
"648","1419_1420",1,1,0,1,1,0
"649","1420_323",1,1,0,1,1,0
"650","1420_324",1,1,0,1,1,0
"651","1419_1421",1,1,0,1,1,0
"652","1421_325",1,1,0,1,1,0
"653","1421_326",1,1,0,1,1,0
"654","1417_327",1,1,0,1,1,0
"655","1409_1422",1,1,0,0.994,0.644,0
"656","1422_1423",1,0,1,0.644,0.996,1
"657","1423_1424",0,0,0,0.996,1,1
"658","1424_1425",0,0,0,1,1,0
"659","1425_328",0,0,0,1,1,0
"660","1425_1426",0,0,0,1,1,0
"661","1426_329",0,0,0,1,1,0
"662","1426_330",0,0,0,1,1,0
"663","1424_331",0,0,0,1,1,0
"664","1423_1427",0,0,0,0.996,1,1
"665","1427_1428",0,0,0,1,1,0
"666","1428_332",0,0,0,1,1,0
"667","1428_333",0,0,0,1,1,0
"668","1427_334",0,0,0,1,1,0
"669","1422_1429",1,1,0,0.644,0.67,1
"670","1429_1430",1,0,1,0.67,0.96,1
"671","1430_1431",0,0,0,0.96,0.998,1
